member,Fy,span_ft,w_asd_plf,footnote
1600S200-97,50,6,4028.0,e
1600S200-97,50,8,3021.0,e
1600S200-97,50,10,2417.0,e
1600S200-97,50,12,1778.0,e
1600S250-97,50,3,8056.0,e
1600S250-97,50,4,6042.0,e
1600S250-97,50,5,4834.0,e
1600S250-97,50,6,4028.0,e
1600S250-97,50,8,3021.0,e
1600S250-97,50,10,2417.0,e
1600S250-97,50,12,1909.0,e
1600S300-97,50,3,8056.0,e
1600S300-97,50,4,6042.0,e
1600S300-97,50,5,4834.0,e
1600S300-97,50,6,4028.0,e
1600S300-97,50,8,3021.0,e
1600S300-97,50,10,2417.0,e
1600S300-97,50,12,2014.0,e
1600S350-97,50,3,8056.0,e
1600S350-97,50,4,6042.0,e
1600S350-97,50,5,4834.0,e
1600S350-97,50,6,4028.0,e
1600S350-97,50,8,3021.0,e
1600S350-97,50,10,2417.0,e
1600S350-97,50,12,2014.0,e
1600S200-118,50,3,14781.0,e
1600S200-118,50,4,11086.0,e
